      palabra    Score Ideologia_dominante  Derecha  Derecha moderada  Izquierda  Izquierda moderada
    activista 0.008366           Izquierda     28.0               0.0      240.0                20.0
     derechas 0.008333           Izquierda    170.0              75.0      517.0               212.0
internacional 0.008290           Izquierda    698.0             739.0     1516.0               797.0
      interés 0.008249             Derecha   2294.0             708.0      531.0               459.0
          box 0.008214             Derecha    832.0             216.0      460.0               177.0
      embargo 0.008189             Derecha    999.0             728.0      950.0               385.0
     judicial 0.008188           Izquierda    572.0             600.0     1335.0               367.0
    monetaria 0.008185             Derecha    414.0              37.0        0.0                 0.0
     justicia 0.008156           Izquierda    824.0             997.0     1513.0               919.0
         cero 0.008153  Izquierda moderada    298.0             255.0      185.0               806.0
      avances 0.008116           Izquierda     52.0              94.0      449.0               189.0
      barroso 0.008115           Izquierda      0.0               0.0      372.0                 0.0
     problema 0.008097             Derecha   2277.0            1689.0     1857.0              1009.0
         años 0.008072           Izquierda   5925.0            5353.0     6171.0              5035.0
     señorías 0.008068           Izquierda    133.0             277.0     1082.0               749.0
    argentina 0.008012             Derecha   1144.0             160.0      547.0                97.0
       pueblo 0.007989           Izquierda    964.0             809.0     1543.0               733.0
        menos 0.007989             Derecha   4277.0            3223.0     2896.0              2830.0
          ver 0.007989           Izquierda   4525.0            4087.0     4672.0              3333.0
       parece 0.007978           Izquierda   2514.0            2481.0     3088.0              1868.0
  legislatura 0.007930           Izquierda    265.0             436.0      884.0               330.0
 comunicación 0.007897           Izquierda   1085.0             777.0     1393.0               566.0
         aquí 0.007864             Derecha   7161.0            6511.0     7017.0              5982.0
    mediático 0.007863           Izquierda    119.0              59.0      336.0                38.0
      humanos 0.007803           Izquierda    299.0             226.0      715.0               286.0
           va 0.007715             Derecha   8084.0            7302.0     6789.0              5907.0
 bipartidismo 0.007696           Izquierda     61.0               0.0      248.0                 0.0
          día 0.007674  Izquierda moderada   3809.0            5045.0     5002.0              5069.0
       puedes 0.007645             Derecha   1263.0             547.0      532.0               518.0
      edición 0.007616           Izquierda    167.0              97.0      326.0               125.0
        niñas 0.007597           Izquierda     53.0              62.0      418.0               144.0
      salario 0.007587             Derecha    977.0             413.0      544.0               528.0
      espacio 0.007568           Izquierda    306.0             483.0      774.0               424.0
  separatismo 0.007568             Derecha    421.0             103.0        0.0                27.0
    solamente 0.007551           Izquierda    601.0             866.0     1286.0               747.0
      incluso 0.007532             Derecha   2337.0            1546.0     1994.0              1320.0
       bancos 0.007471             Derecha    805.0             116.0      166.0                49.0
      dólares 0.007467             Derecha   1274.0             209.0       85.0                84.0
      reforma 0.007453           Izquierda    585.0             251.0      757.0               272.0
        ramón 0.007447             Derecha    528.0              64.0       64.0               137.0
        luego 0.007444             Derecha   4564.0            3541.0     3297.0              2710.0
      estadio 0.007421  Izquierda moderada     22.0              80.0       32.0               574.0
        salud 0.007417  Izquierda moderada    290.0             527.0      924.0               936.0
      medidas 0.007397           Izquierda    723.0             880.0     1556.0              1230.0
         díaz 0.007393           Izquierda    766.0             619.0     1028.0               462.0
      después 0.007358           Izquierda   2294.0            2843.0     3354.0              2627.0
        armas 0.007355           Izquierda    123.0             269.0      617.0               113.0
      trabajo 0.007329           Izquierda   1641.0            1513.0     2454.0              1765.0
        pagar 0.007328             Derecha   1304.0             770.0      687.0               352.0
   bienvenida 0.007320           Izquierda     81.0             203.0      433.0               291.0
    realmente 0.007316             Derecha   1833.0            1057.0     1281.0               833.0
     alquiler 0.007311           Izquierda    496.0             252.0      682.0               189.0
          vez 0.007292           Izquierda   3901.0            3479.0     4148.0              3134.0
          edu 0.007276  Izquierda moderada      0.0               0.0       23.0               309.0
